news,type
"Macy's owner buys rival for $11bn
 
 US retail giant Federated Department Stores is to buy rival May Department Stores for $11bn (£5.7bn).
 
 The deal will bring together famous stores like Macy's, Bloomingdale's and Marshall Field's, creating the largest department store chain in the US. The combined firm will operate about 1,000 stores across the US, with combined annual sales of $30bn. The two companies, facing competition from the likes of Wal-Mart, tried to merge two years ago but talks failed. Sources familiar with the deal said that negotiations between the two companies sped up after May's chairman and chief executive Gene Kahn resigned in January. As part of the deal, Federated - owner of Macy's and Bloomingdale's - will assume $6bn of May's debt, bringing the deal's total value to $17bn. Directors at both companies have approved the deal and it is expected to conclude by the third quarter of this year.
 
 May has struggled to compete against larger department store groups such as Federated and other retailers such as Wal-Mart. Federated expects the merger to boost earnings from 2007 but the deal will cost it $1bn in one-off charges.
 
 ""We have taken the first step toward combining two of the best department store companies in America, creating a new retail company with truly national scope and presence,"" said Terry Lundgren, Federated's chairman. Some analysts see the merger as a rescue deal for May. ""Without this deal May would have been, to put it bluntly, washed up,"" said Kurt Barnard, president of Barnard's Retail Consulting Group. Federated has annual sales of $15.6bn, while May's yearly sales are $14.4bn.
",business
"China suspends 26 power projects
 
 China has ordered a halt to construction work on 26 big power stations, including two at the Three Gorges Dam, on environmental grounds.
 
 The move is a surprising one because China is struggling to increase energy supplies for its booming economy. Last year 24 provinces suffered black outs. The State Environmental Protection Agency said the 26 projects had failed to do proper environmental assessments. Topping the list was a controversial dam on the scenic upper Yangtze River. ""Construction of these projects has started without approval of the assessment of their environmental impact... they are typical illegal projects of construction first, approval next,"" said SEPA vice-director Pan Yue, in a statement on the agency's website.
 
 Some of the projects may be allowed to start work again with the proper permits, but others would be cancelled, he said. Altogether, the agency ordered 30 projects halted. Other projects included a petrochemicals plant and a port in Fujian. The bulk of the list was made up of new power plants, with some extensions to existing ones. The stoppages would appear to be another step in the central government's battle to control projects licensed by local officials. However, previous crackdowns have tended to focus on projects for which the government argued there was overcapacity, such as steel and cement. The government has encouraged construction of new electricity generating capacity to solve chronic energy shortages which forced many factories onto part-time working last year. In 2004, China increased its generating capacity by 12.6%, or 440,700 megawatts (MW). The biggest single project to be halted was the Xiluodi Dam project, designed to produce 12,600 MW of electricity. It is being built on the Jinshajiang - or 'river of golden sand' as the upper reaches of the Yangtze are known. Second and third on the agency's list were two power stations being built at the $22bn Three Gorges Dam project on the central Yangtze - an underground 4,200 MW power plant and a 100 MW plant.
 
 The Three Gorges Dam has proved controversial in China - where more than half a million people have been relocated to make way for it - and abroad. It has drawn criticism from environmental groups and overseas human rights activists. The damming of the Upper Yangtze has also begun to attract criticism from environmentalists in China. In April 2004, central government officials ordered a halt to work on the nearby Nu River, which is part of a United Nations world heritage site, the Three Parallel Rivers site which covers the Yangtze, Mekong and Nu (also known as the Salween), according to the UK-published China Review. That move reportedly followed a protest from the Thai government about the downstream impact of the dams, and a critical documentary made by Chinese journalists. China's energy shortage influenced global prices for oil, coal and shipping last year.
",business
"High fuel prices hit BA's profits
 
 British Airways has blamed high fuel prices for a 40% drop in profits.
 
 Reporting its results for the three months to 31 December 2004, the airline made a pre-tax profit of £75m ($141m) compared with £125m a year earlier. Rod Eddington, BA's chief executive, said the results were ""respectable"" in a third quarter when fuel costs rose by £106m or 47.3%. BA's profits were still better than market expectation of £59m, and it expects a rise in full-year revenues.
 
 To help offset the increased price of aviation fuel, BA last year introduced a fuel surcharge for passengers.
 
 In October, it increased this from £6 to £10 one-way for all long-haul flights, while the short-haul surcharge was raised from £2.50 to £4 a leg. Yet aviation analyst Mike Powell of Dresdner Kleinwort Wasserstein says BA's estimated annual surcharge revenues - £160m - will still be way short of its additional fuel costs - a predicted extra £250m. Turnover for the quarter was up 4.3% to £1.97bn, further benefiting from a rise in cargo revenue. Looking ahead to its full year results to March 2005, BA warned that yields - average revenues per passenger - were expected to decline as it continues to lower prices in the face of competition from low-cost carriers. However, it said sales would be better than previously forecast. ""For the year to March 2005, the total revenue outlook is slightly better than previous guidance with a 3% to 3.5% improvement anticipated,"" BA chairman Martin Broughton said. BA had previously forecast a 2% to 3% rise in full-year revenue.
 
 It also reported on Friday that passenger numbers rose 8.1% in January. Aviation analyst Nick Van den Brul of BNP Paribas described BA's latest quarterly results as ""pretty modest"". ""It is quite good on the revenue side and it shows the impact of fuel surcharges and a positive cargo development, however, operating margins down and cost impact of fuel are very strong,"" he said. Since the 11 September 2001 attacks in the United States, BA has cut 13,000 jobs as part of a major cost-cutting drive. ""Our focus remains on reducing controllable costs and debt whilst continuing to invest in our products,"" Mr Eddington said. ""For example, we have taken delivery of six Airbus A321 aircraft and next month we will start further improvements to our Club World flat beds."" BA's shares closed up four pence at 274.5 pence.
",business
"Ebbers denies WorldCom fraud
 
 Former WorldCom chief Bernie Ebbers has denied claims that he knew accountants were doctoring the books at the firm.
 
 Speaking in court, Mr Ebbers rejected allegations he pressured ex-chief financial officer Scott Sullivan to falsify company financial statements. Mr Sullivan ""made accounting decisions,"" he told the federal court, saying his finance chief had ""a keen command of the numbers"". Mr Ebbers has denied charges of fraud and conspiracy. During his second day of questioning in the New York trial Mr Ebbers played down his working relationship with Mr Sullivan and denied he frequently met him to discuss company business when questioned by the prosecution.
 
 ""In a lot of weeks, we would speak ... three or four times,"" Mr Ebbers said, adding that conversations about finances were rarely one-on-one and were usually discussed by a ""group of people"" instead.
 
 Mr Ebbers relationship to Mr Sullivan is key to the case surrounding financial corruption that led to the collapse of the firm in 2002 following the discovery of an $11bn accounting fraud. The prosecution's star witness is Mr Sullivan, one of six WorldCom executives indicted in the case, He has pleaded guilty to fraud and appeared as a prosecution witness as part of an agreement with prosecutors. During his time on the witness stand Mr Sullivan repeatedly told jurors he met frequently with Mr Ebbers, told him about changes made to WorldCom's accounts to hide costs and had warned him such practises were improper. However during the case on Tuesday Mr Ebbers denied the allegations. ""I wasn't advised by Scott Sullivan of anything ever being wrong,"" he told the court. ""He's never told me he made an entry that wasn't right. If he had, we wouldn't be here today."" Mr Ebbers could face a jail sentence of up to 85 years if convicted of all the charges he is facing. Shareholders lost about $180bn in WorldCom's collapse, 20,000 workers lost their jobs and the company went bankrupt. The company emerged from bankruptcy last year and is now known as MCI.
",business
"Oil prices fall back from highs
 
 Oil prices retreated from four-month highs in early trading on Tuesday after producers' cartel Opec said it was now unlikely to cut production.
 
 Following the comments by acting Opec secretary general Adnan Shihab-Eldin, US light crude fell 32 cents to $51.43 a barrel. He said that high oil prices meant Opec was unlikely to stick to its plan to cut output in the second quarter. In London, Brent crude fell 32 cents to $49.74 a barrel.
 
 Opec members are next meeting to discuss production levels on 16 March. On Monday, oil prices rose for a sixth straight session, reaching a four-month high as cold weather in the US threatened stocks of heating oil. US demand for heating oil was predicted to be about 14% above normal this week, while stocks were currently about 7.5% below the levels of a year ago. Cold weather across Europe has also put upward pressure on crude prices.
",business
"Bank voted 8-1 for no rate change
 
 The decision to keep interest rates on hold at 4.75% earlier this month was passed 8-1 by the Bank of England's rate-setting body, minutes have shown.
 
 One member of the Bank's Monetary Policy Committee (MPC) - Paul Tucker - voted to raise rates to 5%. The news surprised some analysts who had expected the latest minutes to show another unanimous decision. Worries over growth rates and consumer spending were behind the decision to freeze rates, the minutes showed. The Bank's latest inflation report, released last week, had noted that the main reason inflation might fall was weaker consumer spending.
 
 However, MPC member Paul Tucker voted for a quarter point rise in interest rates to 5%. He argued that economic growth was picking up, and that the equity, credit and housing markets had been stronger than expected.
 
 The Bank's minutes said that risks to the inflation forecast were ""sufficiently to the downside"" to keep rates on hold at its latest meeting. However, the minutes added: ""Some members noted that an increase might be warranted in due course if the economy evolved in line with the central projection"". Ross Walker, UK economist at Royal Bank of Scotland, said he was surprised that a dissenting vote had been made so soon. He said the minutes appeared to be ""trying to get the market to focus on the possibility of a rise in rates"". ""If the economy pans out as they expect then they are probably going to have to hike rates."" However, he added, any rate increase is not likely to happen until later this year, with MPC members likely to look for a more sustainable pick up in consumer spending before acting.
",business
"US trade deficit widens sharply
 
 The gap between US exports and imports has widened to more than $60bn (£31.7bn), an all-time record.
 
 Figures from the Commerce Department for November showed exports down 2.3% to $95.6bn, while imports grew 1.3% to $155.8bn on rising consumer demand. Part of the expanding deficit came from high prices for oil imports. But the numbers suggested the sliding dollar - which makes exports less expensive - has had little impact, and could indicate slowing economic growth.
 
 The trade deficit - far bigger than the $54bn widely expected on Wall Street - prompted a rapid response from the currency markets.
 
 By 1650 GMT, the dollar was trading against the euro at $1.3280, almost a cent and a half weaker than before the announcement. Against the pound, the dollar was down about 0.7% at $1,8923. ""The dollar's fall has been sudden, violent and appropriate given this number,"" said Brian Taylor of Wells Fargo in Minneapolis. ""Recent exchange rate movements certainly haven't had any impact yet."" Treasury Secretary John Snow put a brave face on the news, saying it was a sign of strong economic expansion. ""The economy is growing at such a fast rate that it is generating lots of disposable income... some of which is used to buy goods from our trading partners.""
 
 Although the White House officially still backs the US's traditional ""strong dollar"" policy, it has tacitly indicated that it would be happy if the slide continued. The dollar has fallen by 50% against the euro - as well as by 30% against the yen - in the past three years. The main catalyst, most economists accept, is the large budget deficit on the one hand, and the current account deficit - the difference between the flow of money in and out of the US - on the other. The trade deficit is a large part of the latter. In November, the fall in exports was largely due to a decline in sales of industrial supplies and materials such as chemicals, as well as of cars, consumer goods and food. One small bright spot for US policy-makers was a slight decline in the deficit with China, often blamed for job losses and other economic woes. Although China's overall trade surplus is expanding, according to Chinese government figures, the Commerce Department revealed the US's deficit with China was $19.6bn in November, down from $19.7bn the month before. But the deficit with Japan was at its worst in more than four years.
",business
"Japan bank shares up on link talk
 
 Shares of Sumitomo Mitsui Financial (SMFG), and Daiwa Securities jumped amid speculation that two of Japan's biggest financial companies will merge.
 
 Financial newspaper Nihon Keizai Shimbun claimed that the firms will join up next year and already have held discussions with Japanese regulators. The firms denied that they are about to link up, but said they are examining ways of working more closely together. SMFG shares climbed by 2.7% to 717,000, and Daiwa added 5.3% to 740 yen.
 
 Combining SMFG, Japan's third-biggest lender, and Daiwa, the country's second-largest brokerage firm, would create a company with assets of more than $1,000bn (£537bn). SMFG President Yoshifumi Nishikawa said that the companies needed to bolster their businesses. ""Both companies need to strengthen retail and other operations,"" he said, adding that ""it's an issue we have in common"". Daiwa said that ""although it is true that the two groups have been engaging in various discussions to enhance cooperation, there are no plans to enter into negotiations to consolidate the two businesses"". Analysts said that consolidation in Japan's financial sector was likely to continue and that it was likely to have a positive impact on earnings. ""Cross-selling opportunities between banks and brokers are increasing thanks to deregulation, so we can expect the relationship to get even stronger,"" said Heronry Nozaki, an analyst at NikkoCitigroup. The merger ""would be a good move,"" he added.
",business
"Hyundai to build new India plant
 
 South Korea's Hyundai Motor has announced that it plans to build a second plant in India to meet the country's growing demand for cars.
 
 The company didn't give details of its investment but it said the new plant would produce 150,000 cars a year. This will boost the annual production capacity of the company - India's second-largest car manufacturer - to 400,000 units. Hyundai expects its sales in India to grow 16% to 250,000 in 2005. By 2010, it expects to nearly double sales to 400,000 cars. The new plant will be built close to the existing one in Chennai, in the southern province of Tamil Nadu.
 
 South Korea's top car maker estimates that the Indian market will grow 15% this year, to 920,000 vehicles, reaching 1.6 million vehicles by 2010. Demand in India has been driven by the poor state of public transport and the very low level of car ownership, analysts said. Figures show that currently only eight people per thousand are car owners. ""We desperately need to expand our production in order to meet growing demand in the Indian auto market, which is growing over 12 percent every year, and to top our competitors,"" chairman Chung Mong-koo said in the statement. He said the company plans to use India as a base for exports to Europe, Latin America and the Middle East. The company - which controls half of the South Korean's market - aims to become a global top five auto maker by 2010.
",business
"US in EU tariff chaos trade row
 
 The US has asked the World Trade Organisation to investigate European Union customs tariffs, which it says are inconsistent and hamper trade.
 
 The EU's own institutions have noted the uneven way EU customs rules are applied but failed to act, the US Trade Representative's Office said. Small and mid-sized US firms were worst-hit, it added. The EU expanded from 15 to 25 member states in May. The US said it filed the complaint after talks failed to find a solution.
 
 The move came in the same week that the US and EU stepped back from confrontation in a tense dispute over aircraft subsidies to European manufacturer Airbus and US firm Boeing. New EU trade commissioner Peter Mandelson said on Tuesday that the two sides had agreed to reopen talks in the aircraft subsidies row, which led to tit-for-tat WTO filings in last autumn.
 
 Explaining why it has asked the WTO to set up a dispute settlement panel on customs barriers, the US Trade Representative's Office said that it wants to tackle the issue ""early in the EU's process of dealing with the problems of enlargement"". Ten countries, mostly in Eastern Europe, joined the EU in May. The US said its trade with the 25 EU member countries was worth $155.2bn (£82.8bn) in 2003. ""Although the EU is a customs union, there is no single EU customs administration,"" a statement issued on behalf of Robert Zoellick, US Trade Representative, said. Lack of uniformity, coupled with lack of procedures for prompt EU-wide review can hinder US exports, especially for small to mid-sized businesses"", An EU spokesman in Washington dismissed the US complaint. ""We think the US case is very weak. They haven't come up with any evidence that US companies are being harmed,"" said Anthony Gooch. It could take several months for the WTO's dispute settlement panel to report its findings.
",business
"German jobless rate at new record
 
 More than 5.2 million Germans were out of work in February, new figures show.
 
 The figure of 5.216 million people, or 12.6% of the working-age population, is the highest jobless rate in Europe's biggest economy since the 1930s. The news comes as the head of Germany's panel of government economic advisers predicted growth would again stagnate. Speaking on German TV, Bert Ruerup said the panel's earlier forecast of 1.4% was too optimistic and warned growth would be just 1% in 2005.
 
 The German government is trying to tackle the stubbornly-high levels of joblessness with a range of labour market reforms. At their centre is the ""Hartz-IV"" programme introduced in January to shake up welfare benefits and push people back into work - even if some of the jobs are heavily subsidised. The latest unemployment figures look set to increase the pressure on the government. Widely leaked to the German newspapers a day in advance, they produced screaming headlines criticising Chancellor Gerhard Schroeder's Social Democrat-Green Party administration. Mr Schroeder had originally come into office promising to halve unemployment.
 
 Still, some measures suggest the picture is not quite so bleak. The soaring official unemployment figure follows a change in the methodology which pushed up the jobless rate by more than 500,000 in January. Adjusted for seasonal changes, the overall unemployment rate is 4.875 million people or 11.7%, up 0.3 percentage points from the previous month. Using the most internationally-accepted methodology of the International Labour Organisation (ILO), Germany had 3.97 million people out of work in January. And ILO-based figures also suggest that 14,000 new net jobs were created that month, taking the number of people employed to 38.9 million. The ILO defines an unemployed person as someone who in the previous four weeks had actively looked for work they could take up immediately.
",business
"S Korean lender faces liquidation
 
 Creditors of South Korea's top credit card firm have said they will put the company into liquidation if its ex-parent firm fails to back a bail-out.
 
 LG Card's creditors have given LG group until Wednesday to sign up to a $1.1bn rescue package. The firm avoided bankruptcy thanks to a $4.5bn bail-out in January 2004, which gave control to the creditors. LG Group has said any package should reflect the firm's new ownership, and it will not accept an unfair burden. At least seven million people in South Korea use LG Card's plastic for purchases.
 
 LG Card's creditors have threatened parent group LG Group with penalties if it fails to respond to their demands.
 
 ""Creditors would seek strong financial sanctions against LG Group if LG Card is liquidated,"" said Yoo Ji-chang, governor of Korean Development Bank (KDB) - one of the card firm's major creditors. LG Group has said providing further help to the credit card issuer could hurt its corporate credibility and could spark shareholder lawsuits. It says it wants ""fair and reasonable guidelines"" on splitting the financial burden with the creditors, who now own 99.3% of LG Card. The creditors have asked the government to mediate to avoid any risk to the stability of financial markets, KDB said. Analysts believe a compromise is likely. ""LG Group knows the impact on consumer demand and the national economy from a liquidation of LG Card,"" said Kim Yungmin, an equity strategist at Dongwon Investment Trust Management.
 
 LG Card almost collapsed in 2003 due to an increase in overdue credit card bills after the bursting of a credit bubble. The firm returned to profit in September 2004, but now needs a capital injection to avoid being delisted from the Korea Stock Exchange. The exchange can delist a company if its debt exceeds its assets for two years running. LG card's creditors fear that such a move would triggered massive debt redemption requests that could bankrupt the firm, which owes about $12.05bn. ""Eventually, LG Group will have to participate, but they have been stalling to try to earn better concessions,"" said Mr Kim.
",business
"Asian banks halt dollar's slide
 
 The dollar regained some lost ground against most major currencies on Wednesday after South Korea and Japan denied they were planning a sell-off.
 
 The dollar suffered its biggest one-day fall in four months on Tuesday on fears that Asian central banks were about to lower their reserves of dollars. Japan is the biggest holder of dollar reserves in the world, with South Korea the fourth largest. The dollar was buying 104.76 yen at 0950 GMT, 0.5% stronger on the day. It also edged higher against both the euro and the pound, with one euro worth $1.3218, and one pound buying $1.9094. Concerns over rising oil prices and the outlook for the dollar pushed down US stock markets on Tuesday; the Dow Jones industrial average closed down 1.6%, while the Nasdaq lost 1.3%.
 
 The dollar's latest slide began after a South Korean parliamentary report suggested the country, which has about $200bn in foreign reserves, had plans to boost holdings of currencies such as the Australian and Canadian dollar. On Wednesday, however, South Korea moved to steady the financial markets. It issued a statement that ""The Bank of Korea will not change the portfolio of currencies in its reserves due to short term market factors"". Japan, too, steadied nerves. A senior Japanese Finance Ministry official told Reuters ""we have no plans to change the composition of currency holdings in the foreign reserves, and we are not thinking about expanding our euro holdings"". Japan has $850bn in foreign exchange reserves. At the start of the year, the US currency, which had lost 7% against the euro in the final three months of 2004 and had fallen to record lows, staged something of a recovery. Analysts, however, pointed to the dollar's inability recently to extend that rally despite positive economic and corporate data, and highlighted the fact that many of the US's economic problems had not disappeared. The focus has been on the country's massive trade and budget deficits, and analysts have predicted more dollar weakness to come.
",business
"Krispy Kreme shares hit
 
 Shares in Krispy Kreme Doughnuts have taken a dunking on Wall Street after the firm revealed it would have to restate its 2004 financial reports.
 
 The company warned the move would cut its profits by $3.8m to $4.9m (£2m to £2.6m) - or between 6.6% and 8.6%. Krispy Kreme said accounting errors had forced the move, adding that its board of directors made the decision to restate its accounts on 28 December. However, the company was unavailable to comment on why it had delayed the news.
 
 It also warned it might have to further restate results for 2004 and 2005.
 
 Shares in Krispy Kreme sank 14.87% - or $1.83 - to close at $10.48 on the news. The revelation comes just a month after the firm warned earnings would be cut by as much as 7.6% as a result of accounting errors. Krispy Kreme said the latest adjustments involved the way it accounted for the repurchase of three franchise restaurants. It added it would now be reviewing how it accounts for its leases. In a further blow, the firm said it had been advised that some of its franchise owners were not in compliance with their loan agreements, and warned it might need to borrow extra money if it was required to honour agreements on franchisee debts or operating leases.
 
 Krispy Kreme added that it had enough cash to fund its current operations, but it could not borrow any more under its existing agreements. ""There are many more questions than answers, especially given increased concerns regarding company liquidity,"" JP Morgan Securities analyst John Ivankoe said in a research note on the firm. The announcement is the latest blow for the one-time darling of Wall Street, which has lost 80% of its stock value in just over a year. The firm is currently facing Securities and Exchange Commission investigation of its accounts. Shareholders have also launched lawsuits against the group, claiming it made false statements and inflated sales.
",business
"'Post-Christmas lull' in lending
 
 UK mortgage lending showed a ""post-Christmas lull"" in January, indicating a slowing housing market, lenders have said.
 
 Both the Council of Mortgage Lenders (CML) and Building Society Association (BSA) said lending was down sharply. The CML said gross mortgage lending stood at £17.9bn, compared with £21.8bn in January last year. The BSA said mortgage approvals - loans approved but not yet made - were £2bn, down from £2.6bn in January 2004.
 
 At the same time, the British Bankers' Association (BBA) said lending was ""weaker"". Overall, the BBA said mortgage lending rose by £4bn in January, a far smaller increase than the £5.1bn seen in December. This was a return to the ""weaker pattern"" of lending seen in the last months of 2004, the BBA added. However, it is the year-on-year lending comparisons which are the most striking. The CML said lending for house purchases and gross mortgage lending were 29% and 18% lower year-on-year respectively. ""These figures show beyond doubt the recent slowdown in the housing market,"" Peter Williams, CML deputy director, said.
",business
"Senior Fannie Mae bosses resign
 
 The two most senior executives at US mortgage giant Fannie Mae have resigned after accounting irregularities were uncovered at the company.
 
 Chief executive Franklin Raines, a former senior official in the Clinton administration, and chief financial officer Tim Howard have left the firm. Fannie Mae was criticised by financial regulators and could have to restate its earnings by up to $9bn (£4.6bn). It is America's second largest financial institution.
 
 Recent investigations have exposed extensive accounting errors at Fannie Mae, which supplies funds to America's $8 trillion mortgage market. Last week, the firm was admonished by the Securities and Exchange Commission which said it had made major errors in its financial reporting.
 
 The financial regulator said Fannie Mae would have to raise substantial new capital to restore its balance sheet. Analysts said the SEC's criticism made it impossible for Fannie Mae's senior executives to remain. Mr Raines, head of the Office of Management and Budget under President Clinton, has taken early retirement while Mr Howard has also stepped down, the company said on Tuesday. KPMG, Fannie Mae's independent auditor, will also be replaced. ""By my early retirement, I have held myself accountable,"" Mr Raines said in a statement.
 
 Fannie Mae was found to have violated accounting rules relating to derivatives - financial instruments used to hedge against fluctuations in interest rates - and some pre-paid loans. As a result, it could be forced to restate $9bn in earnings over the past four years, effectively wiping out a third of the company's profits since 2001. Although not making loans directly to buyers, Fannie Mae is the largest single player in the mortgage market, underwriting half of all US house purchases. The firm operates under charter from the US Congress. It has faced stinging criticism from Congressional leaders who held hearings into its finances earlier this year and from government regulator, the Office of Federal Housing Enterprise Oversight (OFHEO). ""We are encouraged that the board's announcement signals a new culture and a new direction for Fannie Mae,"" Armando Falcon, OFHEO director said. The problems afflicting Fannie Mae are just the latest to hit the US mortgage industry. Freddie Mac, the country's other largest mortgage firm, was forced to restate its earnings by $4.4bn last year and pay a $125m fine after an investigation of its books.
",business
"Yukos owner sues Russia for $28bn
 
 The majority owner of embattled Russian oil firm Yukos has sued the Russian government for $28.3bn (£15.2bn).
 
 The Kremlin last year seized and sold Yukos' main production arm, Yugansk, to state-run oil group Rosneft for $9.3bn to offset a massive back tax bill. Group Menatep, the Gibraltar-based holding company which controls 51% of Yukos, says this was illegal. Menatep has already asked Rosneft to repay a $900m loan that Yugansk had secured on its assets.
 
 The Russian government's argument for selling Yuganskneftegaz - the unit's full name - was that Yukos owed more than $27bn in back taxes for the years from 2000 onwards. It accused the firm of using a web of offshore firms to avoid its tax liabilities, and the courts sent in bailiffs to freeze Yukos accounts and seize Yugansk.
 
 But critics say the sell-off, and the assault on Yukos' finances, are part of an attempt to bring the energy industry back under state control. According to Menatep, the government's actions were contrary to the 1994 Energy Charter Treaty, which was designed to regulate disagreements over energy investments. ""We have warned the Russian government about their continuing attacks against Yukos, its personnel and its shareholders and we have warned any buyer of Yuganskneftegaz that they would face a lifetime of litigation,"" said Tim Osborne, a director of Group Menatep. ""The time for warning is over and actions to recover the value of our losses begin in earnest today.""
 
 Menatep said the value of its Yukos shareholding had gone from $17.8bn to ""virtually nothing"" since 2003 as a result of the Russian government's action, as its shares have fallen 97%. According to its Paris lawyer, Emmanuel Gaillard of Shearman and Sterling, the overall claim is based on that figure, with a 60% addition for the share gains that could have accrued since then. Arbitration of the lawsuit could take place in Stockholm or The Hague, Mr Gaillard said. While Russia has signed the Charter, it has never ratified it - which some experts say could make it difficult for Menatep to press its case. But Mr Gaillard told BBC News that the Charter came into effect on signature, not ratification. ""Russia has said in the past that it is bound by it, so as to attract foreign investors,"" he said.
 
 Yukos is still waiting to see what will happen to its filing in a US court for bankruptcy protection. It took the action to try to prevent the forced sale of Yugansk - first to a little-known shell company, which in turn was bought by Rosneft. Yukos claims its downfall was punishment for the political ambitions of its founder Mikhail Khodorkovsky. Mr Khodorkovsky, currently facing fraud and tax evasion charges of his own, was one of the founders of Menatep. He has since signed over his shareholding to one of his fellow investors.
",business
"Bargain calls widen Softbank loss
 
 Japanese communications firm Softbank has widened losses after heavy spending on a new cut-rate phone service.
 
 The service, launched in December and dubbed ""Otoku"" or ""bargain"", has had almost 900,000 orders, Softbank said. The firm, a market leader in high-speed internet, had an operating loss for the three months to December of 7.5bn yen ($71.5m; £38.4m). But without the Otoku marketing spend it would have made a profit - and expects to move into the black in 2006. The firm did not give a figure for the extent of profits it expected to make next year. It was born in the 1990s tech boom, investing widely and becoming a fast-rising star, till the end of the tech bubble hit it hard. Its recent return to a high profile came with the purchase of Japan Telecom, the country's third-biggest fixed-line telecoms firm. The acquisition spurred its broadband internet division to pole position in the Japanese market, with more than 5.1 million subscribers at the end of December.
",business
"Irish company hit by Iraqi report
 
 Shares in Irish oil company Petrel Resources have lost more than 50% of their value on a report that the firm has failed to win a contract in Iraq.
 
 Reuters news agency reported that Iraq's Oil Ministry has awarded the first post-war oilfield contracts to a Canadian and a Turkish company. By 1700 GMT, Petrel's shares fell from 97p ($1.87) to 44p ($0.85). Petrel said that it has not received any information from Iraqi authorities to confirm or deny the report.
 
 Iraq is seeking to award contracts for three projects, valued at $500m (£258.5m). Turkey's Everasia is reported by Reuters to have won a contract to develop the Khurmala Dome field in the north of the country. A Canadian company, named IOG, is reported to have won the contract to run the Himrin field. Ironhorse Oil and Gas has denied to Reuters that it is the company in question. These two projects aim to develop Khurmala field to produce 100,000 barrels per day and raise the output of Himrin. The winners of the contract are to build new flow lines and build gas separation stations. The contract to develop the Suba-Luhais field has not yet been awarded as Iraq's Oil Ministry is studying the offers. If Iraq's cabinet approves the oil ministry's choice of companies, then this will be the first deal that Iraq has signed with a foreign oil company. Iraq is still trying to boost its production capacity to match levels last seen in the eighties, before the war with Iran. Oil officials hope to double Iraq's output by the end of the decade.
",business
"Booming markets shed few tears
 
 The market, former British government minister Michael Heseltine once said, has no morality.
 
 And indeed, stock exchange traders around Asia have wasted little time regretting the victims of this week's disaster. Stock markets in Indonesia and India have hit all-time highs this week; even in Sri Lanka, more comprehensively affected, the main index has lost only 5% since the waves hit. Bigger markets further afield have barely twitched. The MSCI World share index, a measure of global stock market performance, hit its highest level this week since early 2001; the BBC Global 30 has risen by 3% in the past week. And this at a time when - all sentiment aside - insurance costs are already estimated in the tens of billions of dollars, and countries around the region are looking at trimming their growth forecasts.
 
 In fact, the markets are being perfectly rational.
 
 For a start, the notional insurance cost of the disaster will have little bearing on corporate bottom lines. The overwhelming majority of the victims will have had no insurance: according to estimates from India, only one-quarter of those affected there were wealthy enough to afford insurance, and only one-quarter of that group at most will have taken out policies. Indonesia is likely to have even lower take-up rates. And where insurance certainly is in place - in, for example, the many tourist complexes affected - the costs will be borne in far-away corners of the global reinsurance market, rather than landing locally.
 
 Second, stock markets do not trade the sort of companies likely to have been damaged. Most of the biggest companies traded on the soaring Jakarta Stock Exchange are in oil, technology and financial services - none of which have been hit by the flooding. Tourist businesses, the most likely sufferers, are either foreign-owned or too small to have their shares listed. Those that are listed have suffered: Confifi Hotel Holdings, a small Sri Lankan tourism firm, has halved in value this week. But there are winners as well as losers. Asian stock markets are heavily inclined towards property and construction companies, many of which will be rubbing their hands over the reconstruction opportunities. In Indonesia, shares in state construction companies Adhi Karya and Semen Gresik have jumped sharply this week.
 
 More broadly, the academic consensus is that major disasters are largely neutral in their longer-term economic impact.
 
 According to the Natural Hazards Research and Applications Information Center at Colorado State University, there is little evidence that disasters are inevitably followed by a depression. The need to find money to replace lost and damaged property is balanced by the beneficial effect of reconstruction activity; there is rarely, the centre says, any sort of rebuilding boom, but in most cases sizeable indirect losses are avoided. A study of the 1993 Des Moines floods, from the Disaster Research Center at the University of Delaware*, found that 70% of local businesses were no worse off after the disaster, and another 18% felt themselves better off. ""Although it is commonly assumed on the basis of anecdotal evidence that disasters result in business failures and bankruptcies on a large scale, our research indicates that most businesses, even those that are especially hard-hit, do indeed recover,"" the authors concluded.
 
 But disasters have a vast psychological impact, and markets are driven by psychological factors.
 
 In particular, many analysts warn of panic spreading unchecked through the global financial system, as investors seek to cover themselves against the unforeseeable effects of unguessable events. In fact, again, the risks here are lower than they seem. Even the costliest natural disaster is rendered minuscule by the global capital market - currently $30 trillion and rising. A series of recent shocks, the Colorado centre has argued, have demonstrated that this seamless global contagion hardly ever happens: market tremors rarely translate into economic slumps, and economic woes rarely seriously undermine markets. The trillion-dollar debts of Japan's banks, for example, have had no effect on stock markets further afield than Tokyo. And the US stock market was on its way down long before 11 September, 2001; it rose by 20% during the six months following the attacks. ""It is not that the broking community is indifferent to disasters or feelings,"" one Bombay trader said this week. ""But the reaction would have been seen if business had been affected. Business sense probably tends to overrule everything else.""
",business
